Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2020",Male,Mizoram,Total,5.8
India,"Financial Year (Apr - Mar), 2020",Total,Mizoram,Total,7.3
India,"Financial Year (Apr - Mar), 2020",Female,Mizoram,Urban,13.2
India,"Financial Year (Apr - Mar), 2020",Male,Mizoram,Urban,7.7
India,"Financial Year (Apr - Mar), 2020",Total,Mizoram,Urban,9.5
India,"Financial Year (Apr - Mar), 2020",Female,Nagaland,Rural,23.5
India,"Financial Year (Apr - Mar), 2020",Male,Nagaland,Rural,15.5
India,"Financial Year (Apr - Mar), 2020",Total,Nagaland,Rural,17.5
India,"Financial Year (Apr - Mar), 2020",Female,Nagaland,Total,27.9
India,"Financial Year (Apr - Mar), 2020",Male,Nagaland,Total,15.5
India,"Financial Year (Apr - Mar), 2020",Total,Nagaland,Total,18.5
India,"Financial Year (Apr - Mar), 2020",Female,Nagaland,Urban,42.3
India,"Financial Year (Apr - Mar), 2020",Male,Nagaland,Urban,15.5
India,"Financial Year (Apr - Mar), 2020",Total,Nagaland,Urban,21.0
India,"Financial Year (Apr - Mar), 2020",Female,Sikkim,Rural,1.9
India,"Financial Year (Apr - Mar), 2020",Male,Sikkim,Rural,3.2
India,"Financial Year (Apr - Mar), 2020",Total,Sikkim,Rural,2.7
India,"Financial Year (Apr - Mar), 2020",Female,Sikkim,Total,3.0
India,"Financial Year (Apr - Mar), 2020",Male,Sikkim,Total,3.4
India,"Financial Year (Apr - Mar), 2020",Total,Sikkim,Total,3.3
India,"Financial Year (Apr - Mar), 2020",Female,Sikkim,Urban,7.7
India,"Financial Year (Apr - Mar), 2020",Male,Sikkim,Urban,4.0
India,"Financial Year (Apr - Mar), 2020",Total,Sikkim,Urban,5.0
India,"Financial Year (Apr - Mar), 2020",Female,Tripura,Rural,29.1
India,"Financial Year (Apr - Mar), 2020",Male,Tripura,Rural,5.8
India,"Financial Year (Apr - Mar), 2020",Total,Tripura,Rural,9.8
India,"Financial Year (Apr - Mar), 2020",Female,Tripura,Total,29.5
India,"Financial Year (Apr - Mar), 2020",Male,Tripura,Total,6.4
India,"Financial Year (Apr - Mar), 2020",Total,Tripura,Total,10.5
India,"Financial Year (Apr - Mar), 2020",Female,Tripura,Urban,30.6
India,"Financial Year (Apr - Mar), 2020",Male,Tripura,Urban,8.9
India,"Financial Year (Apr - Mar), 2020",Total,Tripura,Urban,14.0
India,"Financial Year (Apr - Mar), 2019",Female,All India,Rural,4
India,"Financial Year (Apr - Mar), 2019",Male,All India,Rural,6.3
India,"Financial Year (Apr - Mar), 2019",Total,All India,Rural,5.7
India,"Financial Year (Apr - Mar), 2019",Female,All India,Total,6
India,"Financial Year (Apr - Mar), 2019",Male,All India,Total,6.6
India,"Financial Year (Apr - Mar), 2019",Total,All India,Total,6.5
India,"Financial Year (Apr - Mar), 2019",Female,All India,Urban,11.3
India,"Financial Year (Apr - Mar), 2019",Male,All India,Urban,7.3
India,"Financial Year (Apr - Mar), 2019",Total,All India,Urban,8.2
India,"Financial Year (Apr - Mar), 2019",Female,Arunachal  Pradesh,Rural,10.3
India,"Financial Year (Apr - Mar), 2019",Male,Arunachal  Pradesh,Rural,4.5
India,"Financial Year (Apr - Mar), 2019",Total,Arunachal  Pradesh,Rural,5.4
India,"Financial Year (Apr - Mar), 2019",Female,Arunachal  Pradesh,Total,11.7
India,"Financial Year (Apr - Mar), 2019",Male,Arunachal  Pradesh,Total,5
India,"Financial Year (Apr - Mar), 2019",Total,Arunachal  Pradesh,Total,6
India,"Financial Year (Apr - Mar), 2019",Female,Arunachal  Pradesh,Urban,20.6
India,"Financial Year (Apr - Mar), 2019",Male,Arunachal  Pradesh,Urban,8
India,"Financial Year (Apr - Mar), 2019",Total,Arunachal  Pradesh,Urban,9.7
India,"Financial Year (Apr - Mar), 2019",Female,Assam,Rural,14.1
India,"Financial Year (Apr - Mar), 2019",Male,Assam,Rural,7.8
India,"Financial Year (Apr - Mar), 2019",Total,Assam,Rural,8.6
India,"Financial Year (Apr - Mar), 2019",Female,Assam,Total,13.8
India,"Financial Year (Apr - Mar), 2019",Male,Assam,Total,7.6
India,"Financial Year (Apr - Mar), 2019",Total,Assam,Total,8.4
India,"Financial Year (Apr - Mar), 2019",Female,Assam,Urban,11.8
India,"Financial Year (Apr - Mar), 2019",Male,Assam,Urban,5.6
India,"Financial Year (Apr - Mar), 2019",Total,Assam,Urban,6.7
India,"Financial Year (Apr - Mar), 2019",Female,Manipur,Rural,17.9
India,"Financial Year (Apr - Mar), 2019",Male,Manipur,Rural,10.6
India,"Financial Year (Apr - Mar), 2019",Total,Manipur,Rural,12.2
India,"Financial Year (Apr - Mar), 2019",Female,Manipur,Total,16.5
India,"Financial Year (Apr - Mar), 2019",Male,Manipur,Total,10.9
India,"Financial Year (Apr - Mar), 2019",Total,Manipur,Total,12.3
India,"Financial Year (Apr - Mar), 2019",Female,Manipur,Urban,13.5
India,"Financial Year (Apr - Mar), 2019",Male,Manipur,Urban,11.9
